,stay,N,S,W,E,NW,SW,NE,SE
[0.35 0.15 0.   0.  ],-2.1404147722485383,-2.1180559205454297,-2.1776196098892173,-2.1765718415501354,-2.1260905895212576,-2.166967801638551,-2.1755072597919733,0.05732626538289767,-2.0579571865391078
[0.45 0.25 0.   0.  ],-1.5768293305826762,-1.6352149875834106,-1.5597610968462263,-1.656812928055551,0.6058627821903411,-1.6563079156836567,-1.6220541356510187,-1.572339646649892,-1.580821712147485
[0.55 0.35 0.   0.  ],-1.1583464663283827,-1.1546602973979134,-1.1686809976789414,-1.1744984414125157,0.7754771601948219,-1.1689581135111113,-1.1689442234126577,-1.1722647939129724,-1.1690317735494786
[ 0.65  0.25 10.    0.  ],-0.7780605281575085,0.5792726206998625,-0.7775602497814875,-0.7766749769650266,-0.7762454109052532,-0.7760477060143246,-0.7790008054882708,-0.7768296674317067,-0.7782036010484952
[ 0.65  0.35 10.    0.  ],-0.6814880917602983,-0.5338883810469192,-0.6874558250381759,-0.6885177438360478,-0.7239504004902364,1.7054810747291147,-0.7190007978213351,-0.5735565079067546,-0.7396693236933852
[0.55 0.35 9.   0.  ],-0.33761263258356045,-0.3331771909590384,-0.33188745581294526,-0.3318328546726175,0.6550345580719669,-0.33231564679070613,-0.3335691141342682,-0.33221917552624414,-0.33932314592114604
[0.45 0.25 8.   0.  ],-0.10882724614493014,-0.10529201042250555,-0.10897342222951988,-0.1061796932996018,-0.10835940170109382,-0.10675487214303522,-0.10551283132642585,-0.10615589224794474,-0.10416867212468502
[0.35 0.25 7.   0.  ],-0.03028911330270381,-0.03057997310062557,-0.029653570165595,-0.0293593257995,-0.026155794760606678,-0.0292599252995,-0.0292599252995,-0.02667657168643497,-0.030137314728106095
[0.35 0.35 6.   0.  ],-0.04498699861985849,-0.04507922932815536,-0.04450315939861204,-0.04353759869422455,-0.04593531663661925,-0.04520879139672879,-0.043633586348591394,-0.04533235360413751,-0.04566867498216769
[0.45 0.25 5.   0.  ],-0.06414528185297214,-0.05944144839328268,-0.06359628564435428,-0.06281669756904587,-0.06390632871922891,-0.06367881064283881,-0.06205880599694231,-0.059536007016807196,-0.059483646627163954
[0.35 0.35 4.   0.  ],-0.0398410793960568,-0.03969953742158088,-0.044264761867961945,-0.043829454915033116,-0.039799415136085016,-0.03988960731044975,-0.04392347316087378,-0.04460206767973011,-0.039846139896655745
[0.25 0.25 3.   0.  ],-0.02000213955039737,-0.020105692564393485,-0.019850846,-0.019802828555654295,-0.01509850962552648,-0.019899801995,-0.0198013955,-0.020155471010437277,-0.02000214044304061
[0.35 0.35 2.   0.  ],-0.031209649017032,-0.025899003215794116,-0.026049656882242707,-0.025851714116256082,-0.031047200275786557,-0.02597480982243059,-0.030621094641122892,-0.030544317499282717,-0.03092307937875369
