,stay,N,S,W,E,NW,SW,NE,SE
[0.3 0.1 0. ],-2.2267361852033964,-2.6610204666408617,-2.403316694046779,-4.8811417516077995,-0.5422143711731567,-1.5275244506275176,-2.5804003949886756,63.13320936231807,1.0634971824368942
[0.3 0.1 2. ],-1.927185288027949,-2.6470109269932327,-2.093637698451686,-4.4906602078814,-2.6908614129982813,-2.9022250411503756,-1.790147616031803,63.06062882385749,0.14680571955927613
[0.3 0.1 9. ],-1.0536575694583652,-4.668757084883975,-2.222481193902699,-4.518905022536329,-0.04159280906740981,-2.0984162179718666,-3.7136083732757617,62.85397833729599,-1.7383830962979676
[0.3 0.1 1. ],-2.2911140250541377,-2.3713788124404456,-3.8532582440615277,-4.449747836390922,-1.5222165671678864,-3.5676534720232986,-3.7418994580298244,62.53093214062378,-2.7102908005502293
[0.3 0.1 3. ],-2.8291355387450365,-3.42264004202024,-1.3170400435215739,-4.438970021016257,-2.3913096353257477,-1.4649402128053204,-2.564844128548685,62.325740445528226,-0.799122042325599
[0.3 0.1 7. ],-3.8408189594924145,-2.4958321337829132,-2.266490197780601,-4.390492765057002,-2.6843087022035768,-2.8138113315626536,-2.7972374794935067,62.619240850497675,-3.2355014136218996
[0.3 0.1 5. ],-2.9014026085002214,-3.5435903338430053,-2.8529377895123904,-4.51116107741872,-2.621773762428933,-2.5193039398006403,-3.1561744342597216,62.51395701789951,1.024553876888524
[0.3 0.1 8. ],-1.5742468806011394,-3.329302499120889,-0.2995463703661032,-4.280348159717535,-0.47647083789474975,-2.7457623121908292,-3.230913462006902,62.34580312052235,-1.0981890394144664
[0.3 0.1 6. ],-2.060295962630196,-3.07350166185565,-1.1418589185444579,-4.501750211279329,-0.47987081650403235,-1.2182634335940126,-3.232716520035283,62.528514771747055,-2.024115114699632
[0.3 0.1 4. ],-0.1471154222891875,-3.416673167284297,0.06911127604006184,-4.496829296024228,-1.6404647487084616,-1.5444298466097819,-3.012928096689532,62.72172114345659,-0.7039646609206165
[0.1 0.1 0. ],-4.4659055135821,-4.448458802007536,-4.4946547185442,-4.477556395218791,-1.4892432697665592,-4.458450846667577,-4.46546478552198,-4.448055423468818,-4.466917785730615
[0.1 0.1 8. ],-3.8621474303832772,-3.914459746040452,-3.9194200303772586,-3.877041783788395,-2.588354791450182,-3.9043449819039897,-4.032420919923907,-3.8594338058386928,-3.897429895769814
[0.1 0.1 7. ],-3.790025788778956,-4.1072417581214635,-4.024794894318718,-3.7971058896652057,-1.1726534644637159,-3.8471342060322464,-3.83795535373205,-3.935248963129806,-3.935542357483186
[0.1 0.1 9. ],-3.728714149279189,-4.037850764484928,-3.83253913345159,-3.758656439810292,-1.9125411312213672,-3.9840306396100393,-3.865699385776594,-3.9556622171075793,-3.964688124189746
[0.1 0.1 2. ],-3.8071681545815528,-3.7611510541124176,-3.898579420415382,-3.9729070566974967,-2.6942203265163256,-3.8919293600833824,-3.6662936174470775,-4.011102752417635,-4.041621914935854
[0.1 0.1 3. ],-3.8096677988229315,-4.028384326597188,-3.6898259263034827,-3.9450339126042615,-2.3139907477383823,-4.0994888864088335,-3.716672840247861,-4.035748119605104,-4.004926443261144
[0.1 0.1 5. ],-3.7839755292369732,-4.001469299352685,-3.8523057580277156,-3.832421353873379,-0.3865844038578318,-4.029292070323296,-3.968664154327624,-4.068235863017339,-3.8443941271868547
[0.1 0.1 4. ],-3.9398706931754095,-4.002057185039845,-3.8629449351407854,-3.802328863916729,-1.6507793063087033,-3.903696861176554,-3.862623436210303,-4.146099903341592,-3.784339935555176
