,stay,N,S,W,E,NW,SW,NE,SE
[0.35 0.15 0.  ],-5.143355789629271,-5.282092994655698,-5.2892039046092485,-5.28911141181499,-5.1929187819568545,-5.28749866225889,-5.284341471541072,21.49038665699303,-5.2825484949211186
[0.25 0.25 0.  ],-4.504161841144045,-4.497078182382881,-4.507093086218287,-4.503027755312086,-4.505384760699324,-4.505434901138176,-4.504881103303094,-4.494135835931435,-4.504408212357898
[0.25 0.35 0.  ],-4.188207371961691,-4.18920074486859,-4.199891073402507,-4.188022643047888,-4.1942578448266055,-4.189746898899911,-4.191285554450782,-4.1919545591746905,-4.187307966666529
[0.35 0.25 0.  ],-4.412771610950812,-4.412979865158113,-4.4183257150498125,-4.413753119667137,-4.4122555830986006,-4.416275704396391,-4.422111747902336,-2.9885597338354426,-4.413019649492487
[0.45 0.35 0.  ],-3.5325511306930233,9.64509436373858,-3.536786345501962,-3.531781188714869,-3.524541918834635,-3.4896219247450846,-3.5286938943359583,-3.5240569044588788,-3.526480106801294
[0.45 0.25 0.  ],-4.16682789765824,-4.049931090605028,-4.247302616310216,-4.289471228653284,-4.2692716193112705,-4.275525855482905,-4.14354425099719,27.436917195512564,-4.274198619453412
[0.55 0.25 0.  ],-3.3422536246741417,0.21089346899414307,-3.344173869701793,-3.3452005871886317,-3.3392465106789473,-3.3420972874853647,-3.3421708731778064,-3.339649878831848,-3.3399179052623205
[0.25 0.15 0.  ],-4.665687183497938,-4.659602346164147,-4.658874159404171,-4.659840580316002,-4.662662780916118,-4.667291950289573,-4.6653292017175,-4.659137531538302,-4.663224318950241
[0.35 0.05 0.  ],-4.86575001551812,-4.867049373896313,-4.873521422668596,-4.866800867264139,-4.8657791450998165,-4.872869366817819,-4.8708884519469136,-4.865105512928388,-4.872562758380944
[0.25 0.05 0.  ],-4.713789827509905,-4.712568015266422,-4.720426306674541,-4.712828247528169,-4.7128742345895285,-4.7123341170301165,-4.720003966787357,-4.714059233938139,-4.717477431293494
[0.15 0.15 0.  ],-4.3643504806902005,-4.371094966034494,-4.3665553779896875,-4.364767143212229,-4.363021218343063,-4.369178960002834,-4.3651395656927425,-4.373960713713429,-4.3748396570467705
[0.35 0.35 0.  ],-3.7105947218819835,-3.7060696271650655,-3.706080628813012,-3.7157259029496976,-3.711466669559645,-3.705266653620581,-3.713994617202096,-2.7280467581596666,-3.707991808810732
[0.15 0.05 0.  ],-4.337092606355407,-4.340960969200714,-4.3394740641220215,-4.335819109608907,-4.340278759738299,-4.33906321564518,-4.338877195769978,-4.3418769272668545,-4.33325789684657
[0.65 0.15 0.  ],-2.465682983138479,-2.4673378125535383,-2.466285347256398,-2.4663805386880067,-2.462501822299038,-2.472564032519696,-2.468924561428625,-2.467518767288527,-2.4657082178246332
[0.75 0.15 0.  ],-1.977413357029608,-1.980805245600038,-1.9766980838843504,-1.9763243028011603,-1.974888680994928,-1.9863409426629974,-1.9804146480175047,-1.9714274074135811,-1.9737480948929915
[0.65 0.25 0.  ],-2.636202471130719,-2.630271119969244,-2.6317018492604523,-2.640193411787914,-2.630889718875933,-2.6300557763546744,-2.629492340500643,-2.631713571170141,-2.629172740906949
[0.65 0.35 0.  ],-2.705215469665384,-2.699676647522311,-2.700025714741393,-2.707541379975569,-2.7014755353027198,-2.700755812860586,-2.7058920670666753,-2.7069984474665034,-2.6997216721037174
[0.55 0.35 0.  ],-3.307916546710169,-3.3206057474918818,-3.3715908642008388,-3.34687625254962,-3.348393361361892,33.6063272175888,-3.3509427970810153,-3.1067809673598026,-3.354850035872054
[0.55 0.45 0.  ],-2.635047238593639,9.321113047061674,-2.6326665944112055,-2.6373526829535776,-2.637881168489162,-2.6399361924451035,-2.619690509097343,-2.6464235223292483,-2.633110152025993
[0.05 0.15 0.  ],-4.118469210418257,-4.1194313309191655,-4.124798145100234,-4.117906378395536,-4.123559891372261,-4.121038670189899,-4.118256301297544,-4.1217819980489,-4.116863246011127
[0.05 0.05 0.  ],-4.109010148982393,-4.112114440265739,-4.116740170086408,-4.110588069003923,-4.1154569078208825,-4.1152874408750835,-4.110119993244719,-4.121246277899758,-4.112678874190874
[0.75 0.05 0.  ],-1.8182145528288851,-1.8172364838062203,-1.8180892986024633,-1.8221483257775952,-1.8226148502774537,-1.824138996909854,-1.8244501354817089,-1.818990988429766,-1.8205216738491625
[0.45 0.45 0.  ],-2.7258281118280654,-2.7252111094523404,-2.727935809861716,-2.72687873961015,-2.635906911975573,-2.601975815391794,-2.7410109613264404,39.98917355428664,-2.7402825423870483
[0.75 0.35 0.  ],-2.117685603996325,-2.1175435757670944,-2.1107044818218847,-2.1097467845655724,-2.1141925065071208,-2.1217717188579135,-2.1187607050749757,-2.1112038864229477,-2.1115818118166096
[0.75 0.25 0.  ],-2.08758497082376,-2.0828239099728365,-2.0847528173695205,-2.09010837693283,-2.0812922666048106,-2.0968500578849496,-2.0834652517964174,-2.080906520013262,-2.081396925638674
[0.65 0.05 0.  ],-1.9980113127534034,-1.9992458588043696,-1.9976044538969586,-1.9980113127534034,-2.0037554498191805,-1.9969811823653412,-1.9980113127534034,-2.001734454140477,-2.004967660181654
[0.55 0.55 0.  ],-1.6710076920340828,-1.7218082690741408,-1.737030200511028,-1.7412848271594163,-1.648982554420814,-1.339063877675994,-1.3787862073952422,47.475769971414216,-1.3019091474712534
[0.55 0.65 0.  ],-1.0893469205070117,-1.0790302102557714,-1.0247339747418331,-1.0939317718218877,11.057478156534799,-1.0869761175191075,-1.0979837842529199,-1.0872371782013013,-1.0883759270416953
[0.55 0.75 0.  ],-0.6982968610053153,-0.6982697428682209,-0.6971444568338304,-0.6894827542611716,-0.691889674887856,-0.6897654523853559,-0.6996229698277333,-0.6978604997760519,1.6334281957352192
[0.45 0.55 0.  ],-1.8478655409582383,-1.8462089589767172,-1.651394699208787,-1.8471932974227503,-1.8462554361480725,-1.8455469575863286,-1.8550253292433005,-0.7421798430688167,-1.8583090595322806
[0.45 0.65 0.  ],-1.1592752520642062,-1.1575974103702846,-1.1711966097639679,-1.1559983658426234,-1.1626965596786196,-1.1599600909970011,-1.162838387862234,-1.1602323564126513,-1.1595642447905699
[0.35 0.65 0.  ],-0.9795248520598838,-0.9726493671984696,-0.9725067106121663,-0.9723891242595035,-0.9822131845840228,-0.9717651027134263,-0.9751025928006444,-0.9779997163130045,-0.9887490984257424
[0.45 0.75 0.  ],-0.7595973304673576,-0.7557009979744111,-0.7623056748423477,-0.7558521955759206,-0.7531248477194603,-0.7568059614704529,-0.756714386018504,-0.7595853044344419,-0.7514227527357915
[0.85 0.35 0.  ],-1.598573897682471,-1.5987286696571381,-1.6020897628738109,-1.605921592027669,-1.6011373165471228,-1.6031045734946592,-1.6082710401105176,-1.6071975044066218,-1.6053797043115516
[0.95 0.25 0.  ],-1.319034472121603,-1.319489801066146,-1.324978931531169,-1.318080536090791,-1.3191303148341513,-1.315383112745106,-1.327094120415948,-1.3180234510222208,-1.317760166075839
[0.95 0.15 0.  ],-1.2989560988218494,-1.3011475300913704,-1.2980250987700486,-1.2991240148017016,-1.2991519576589334,-1.3052348901106028,-1.293493426181404,-1.299894718631641,-1.2964527388679299
[0.85 0.15 0.  ],-1.5587906040970427,-1.5556305634514203,-1.554000103389754,-1.5632041572773818,-1.5567121572388116,-1.5595596424041622,-1.550913955422279,-1.5562646562851337,-1.5522220130879498
[0.65 0.65 1.  ],53.2682164075371,-0.7405703965881804,-0.39601474463778275,-0.2944008709156519,-0.7504835341073716,-0.7604260821101658,-0.28479997483232494,-0.7485843512985387,0.7297254620377553
