,stay,N,S,W,E,NW,SW,NE,SE
[0.35 0.15 0.  ],585.4470590462016,939.8579270574337,223.04916045994585,575.0407324963704,604.6336165942276,703.7369718956627,505.5836161248387,677.5849010337705,838.2859797864608
[0.35 0.25 0.  ],561.8870885979962,942.3947674985417,571.2210823778681,665.5645843121996,616.5930283219878,585.3094472280966,566.9902158974091,643.6357961981887,639.6654459324457
[0.25 0.35 0.  ],91.7762296744589,190.18159592145227,-5.619589200632602,-6.662646146701923,937.9893756813054,-7.411174985463523,-6.853374005619227,-6.8083206941057,-6.464144492186607
[0.25 0.25 0.  ],-7.8066126459721055,-6.946278822717643,-7.136592460837527,-7.490129834705463,-7.038163010582399,150.66961073053292,-7.263713458665891,938.2866867438577,177.60131200305764
[0.35 0.35 0.  ],574.650735787043,582.0121270513603,784.2121295102501,597.738976624324,768.3537179024256,598.5848138704479,601.3402410089546,944.6916427273559,711.2936996147982
[0.45 0.45 0.  ],667.7155274562259,726.3583477335285,713.2067333886729,477.066179801962,574.6092554944033,845.9319976661086,773.009100801689,946.8847449495051,441.9583940753079
[0.45 0.55 0.  ],351.76384304206704,-3.9505983221554035,-4.347817464487927,-4.071195757217973,-3.9757371887431914,-3.950689215237788,188.83733697515655,940.6531363442873,-4.5233184605727725
[0.55 0.45 0.  ],-4.954094864046985,-4.886791170916055,-5.033377407360303,-4.975843493803779,-5.312227213874834,936.3734642271035,-5.681289384488891,-5.314156019803516,-5.361565491004986
[0.65 0.35 0.  ],-5.680153017574438,-5.270332507615202,-5.301716656927274,-5.379077102114757,-5.352423483365036,89.16057977916559,-5.987746955680235,-5.5824382520074005,-5.24726508579552
[0.55 0.55 0.  ],650.6615028893322,765.7141160571881,532.5315391439991,473.8439864567087,695.5272888286423,450.00709260907774,667.2289624326277,949.6825089883363,620.296065513992
[0.35 0.65 0.  ],-3.3557983815802546,-3.1042974136756247,-3.190911136484839,-3.1229440872979577,-3.3771379175459963,-3.0896871621709985,-3.7118413107508523,-3.087614704541444,-3.794195869820241
[0.35 0.75 0.  ],-3.4388192254159415,-2.651683704034346,-3.1943870605388933,-2.729694940512373,-3.089861693731427,-2.542221105701312,-2.478432298575035,-2.9093664758913773,-3.554852864780581
