,stay,N,S,W,E,NW,SW,NE,SE
[0.3 0.1 0. ],-4.976007897811716,-4.971163288283434,-4.977337863245019,-4.975087016590434,-4.974727602766078,-4.9784527025609675,-4.977258044340399,-4.971146363085645,-4.980358798776971
[0.1 0.1 0. ],-4.514993309251556,-4.5116750847900615,-4.517597275806168,-4.5164036731429,-4.516967957751742,-4.509382583979028,-4.508768886977207,-4.51248575578104,-4.508613773466208
[0.3 0.3 0. ],-4.002729186040172,-4.005114225364369,-4.013135392876164,-3.9986650958680063,-3.996809759809029,-4.001975491413402,-4.0060297100753335,-3.990919578328367,-3.998531102915003
[0.5 0.5 0. ],-2.982479224240943,-2.9793397642511557,-3.0030273375786525,-2.9839143064147238,-2.982352881397389,-2.9774283461021183,-2.9891552700073394,-2.9738665731849183,-2.981560281480304
[0.5 0.3 0. ],-4.00682152948904,-3.9970973644210726,-4.005458134099313,-4.010667093819378,-4.001950920442564,-4.003516646254698,-4.0075969845182255,-4.011096658965224,-4.002273115708173
[0.3 0.7 0. ],-2.451178934567194,-2.450820525111371,-2.4458566947108333,-2.4534051075733654,-2.4507519773076005,-2.452045660164621,-2.4453730614954265,-2.451295050085934,-2.4561755925895357
[0.5 0.7 0. ],-2.3005931239299415,-2.3024869731125883,-2.3062522626394117,-2.3058702813532004,-2.2994658115356956,-2.3025657279292124,-2.2971718887611723,-2.296429146520606,-2.3055106654638045
[0.7 0.1 0. ],-3.6486704539615196,-3.646589901833665,-3.647803541878147,-3.6454176607348283,-3.6488429933208786,-3.6504512592005005,-3.64267458811732,-3.6402955745827774,-3.6424189824418844
[0.9 0.3 0. ],-3.555287579167695,-3.552446989690492,-3.5542720342606353,-3.5580405829952078,-3.54862603776385,-3.5579365892106574,-3.5492818236090486,-3.549576953342086,-3.5560551160020415
[0.9 0.1 0. ],-3.520962300060708,-3.5266211215786956,-3.523847346733884,-3.5253865448652077,-3.5294643914534727,-3.52976549776349,-3.526906984928894,-3.5271718088857287,-3.5276695201188435
[0.7 0.3 0. ],-3.516418195074387,-3.5158153511409265,-3.5152096246436737,-3.525363843864032,-3.516672033445742,-3.513463597700878,-3.5132232668654098,-3.5186856055283275,-3.5203985513265232
[0.7 0.7 1. ],-1.9786530422953978,-1.975722381987023,-1.976557507532016,-1.990199021352691,-1.9760915157360903,-1.9776019736911277,-1.9902642108935982,-1.9764218389474042,-1.9782198519331942
